Iteration,Best Cost Found,
0,0.0691885826228571197211208432886033123419206203257455030141143037022164540580685342628652900742736164829693734645843505859375,
1,0.01707390820307217957835845168559022873046068370617310356876320955016274553304054454987148670142005357774905860424041748046875,
2,0.01123731334931570396517149606906771364123187595396302640438079833984375,
3,0.00913736295753262733424854150123316925701385159425752677844335747304117669792604362541399432018351944861933588981628417968750,
4,0.000912799342753735034986505967586567500404726160923019051551818847656250,
5,0.01608633047587056,
6,0.0135922240680449892764385167969221068773322258493863046169281005859375,
7,0.00516378324523232286506739180695502167139920857152901589870452880859375,
8,0.0135371196385813527773448605946904343966252781683579087257385253906250,
9,0.007322238349934882,
