Generation,Best Cost Found
0,0.02555966
1,0.02555966
2,0.02555966
3,0.043515036
4,0.057067031
5,0.057067031
6,0.057067031
7,0.057067031
8,0.057067031
9,0.057067031
10,0.057067031
11,0.057067031
12,0.059802692
13,0.059802692
14,0.059802692
15,0.059802692
16,0.059802692
17,0.059802692
18,0.059802692
19,0.059802692
20,0.059802692
21,0.059802692
22,0.059802692
23,0.059802692
24,0.059802692
25,0.059802692
26,0.059802692
27,0.059802692
28,0.059802692
29,0.059802692
30,0.059802692
31,0.059802692
32,0.059802692
33,0.059802692
34,0.059802692
35,0.059802692
36,0.059802692
37,0.059802692
38,0.059802692
39,0.059802692
40,0.059802692
41,0.059802692
42,0.059802692
43,0.059802692
44,0.059802692
45,0.059802692
46,0.059802692
47,0.059802692
48,0.059802692
49,0.059802692
50,0.059802692
51,0.059802692
52,0.059802692
53,0.059802692
54,0.059802692
55,0.059802692
56,0.059802692
57,0.059802692
58,0.059802692
59,0.059802692
60,0.059802692
61,0.059802692
62,0.059802692
63,0.059802692
64,0.059802692
65,0.059802692
66,0.059802692
67,0.059802692
68,0.059802692
69,0.059802692
70,0.059802692
71,0.059802692
72,0.059802692
73,0.059802692
74,0.059802692
75,0.059802692
76,0.059802692
77,0.059802692
78,0.059802692
79,0.059802692
80,0.059802692
81,0.059802692
82,0.059802692
83,0.059802692
84,0.059802692
85,0.059802692
86,0.059802692
87,0.059802692
88,0.059802692
89,0.059802692
90,0.059802692
91,0.059802692
92,0.059802692
93,0.059802692
94,0.059802692
95,0.059802692
96,0.059802692
97,0.059802692
98,0.059802692
99,0.059802692
